Management Trainee/ Corporate Financial Planner,Kwun Tong,https://hk.jobsdb.com/hk/en/job/management-trainee-corporate-financial-planner-100003006011702,Non-Degree Tertiary,Entry Level,Base salary + high commission
General Clerk 文員,Chai Wan,https://hk.jobsdb.com/hk/en/job/general-clerk-%e6%96%87%e5%93%a1-100003006011699,School Certificate,Entry Level,"HK$11,000 - 14,000 /month (negotiable)"
Consultant – Corporate Services,Central,https://hk.jobsdb.com/hk/en/job/consultant-corporate-services-100003006011695,Degree,"Full Time, Permanent",Salary negotiable
Management Trainees,Shatin Area,https://hk.jobsdb.com/hk/en/job/management-trainees-100003006011693,null,Full Time,null
Communication A/C servicing Officer15-20k (IANG welcome)  / 5 days work,Central & Western Area,https://hk.jobsdb.com/hk/en/job/communication-account-servicing-officer-100003006011688,Non-Degree Tertiary,Middle,Salary provided
Sales & Marketing Executive / Sales Manager,Quarry Bay,https://hk.jobsdb.com/hk/en/job/sales-marketing-executive-sales-manager-100003006011686,Postgraduate,Entry Level,Salary negotiable
Financial Consultant,Kwai Fong,https://hk.jobsdb.com/hk/en/job/financial-consultant-100003006011685,Degree,Entry Level,Salary provided
Sale Manager / Medical Sale Representative,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/sale-manager-medical-sale-representative-100003006011680,null,Middle,Base salary + high commission
Brand Manager / Assistant Brand Manager,North Point,https://hk.jobsdb.com/hk/en/job/brand-manager-assistant-brand-manager-100003006011684,Degree,Senior,Salary negotiable
Administration Clerk,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/administration-clerk-100003006011678,null,Entry Level,Salary negotiable
Marketing Executive (5 Day Week),Kwai Hing,https://hk.jobsdb.com/hk/en/job/marketing-executive-100003006008817,Matriculated,Middle,Salary negotiable
Management Trainee / AXA Associate / Financial Consultant,Kwun Tong Area,https://hk.jobsdb.com/hk/en/job/management-trainee-axa-associate-financial-consultant-100003006011662,School Certificate,Entry Level,Base salary + high commission
Visual Merchandiser (Fashion/ Footwear),Location not specified,https://hk.jobsdb.com/hk/en/job/visual-merchandiser-100003006011660,Degree,Middle level,Salary negotiable
**URGENT** Business Manager/ Assistant Business Manager/ Business Development Officer,Location not specified,https://hk.jobsdb.com/hk/en/job/business-manager-assistant-business-manager-business-development-officer-100003006011653,School Certificate,Middle,Salary provided
Sales & Marketing Executive,Tai Po Area,https://hk.jobsdb.com/hk/en/job/sales-marketing-executive-100003006011635,School Certificate,Entry Level,Base salary + high commission
Sales Executive (Corporate Machine),Tai Koo,https://hk.jobsdb.com/hk/en/job/sales-executive-100003006011633,School Certificate,Entry Level,Salary provided
"** Manager/Assistant Manager **  (Management Grade $25,000 - $35,000 above plus bonus / 5 Days Work)",Others,https://hk.jobsdb.com/hk/en/job/manager-assistant-manager-100003006011596,School Certificate,Middle,Salary provided
Project Supervisor / Project Coordinator (5-Day Work),Wan Chai,https://hk.jobsdb.com/hk/en/job/project-supervisor-project-coordinator-100003006011594,School Certificate,Entry Level,Salary negotiable
理財策劃主任 / 經理    Financial Planning Officer / Manager / Management Trainee,Kwun Tong,https://hk.jobsdb.com/hk/en/job/%e7%90%86%e8%b2%a1%e7%ad%96%e5%8a%83%e4%b8%bb%e4%bb%bb-%e7%b6%93%e7%90%86-financial-planning-officer-manager-management-trainee-100003006011571,null,"Full Time, Permanent",Base salary + high commission
Overnight Manager - Front Office (YHA Mei Ho House Youth Hostel),Sham Shui Po,https://hk.jobsdb.com/hk/en/job/overnight-manager-front-office-100003006011562,Non-Degree Tertiary,Middle level,Salary negotiable
Front Desk Officer (YHA Mei Ho House Youth Hostel),Sham Shui Po,https://hk.jobsdb.com/hk/en/job/front-desk-officer-100003006011563,Non-Degree Tertiary,Entry Level,Salary negotiable
Assistant UX/Digital Marketing Manager,Shatin Area,https://hk.jobsdb.com/hk/en/job/assistant-ux-digital-marketing-manager-100003006011560,Degree,Middle,null
Customer Service Officer (eStore),Shatin Area,https://hk.jobsdb.com/hk/en/job/customer-service-officer-100003006011557,Non-Degree Tertiary,Entry Level,null
Customer Service Officer - Luxury (Native Japanese Speaker),Causeway Bay,https://hk.jobsdb.com/hk/en/job/customer-service-officer-luxury-100003006011552,Degree,Middle level,"HK$20,000 - 25,000 /month"
Business Development - Management Associate (Fresh & Overseas Graduate will be considered),Quarry Bay,https://hk.jobsdb.com/hk/en/job/business-development-management-associate-100003006011550,Non-Degree Tertiary,Entry Level,"HK$17,000 - 35,000 /month"
(Senior) Business Development Manager - HK/China Sector,Tai Koo,https://hk.jobsdb.com/hk/en/job/business-development-manager-hk-china-sector-100003006011548,Non-Degree Tertiary,Middle,"HK$20,000 - 55,000 /month"
Sales Accounts Executive (Passive Components),Shatin Area,https://hk.jobsdb.com/hk/en/job/sales-accounts-executive-100003006011531,Degree,Entry Level,Salary provided
Sales Executive (Field Sales Engineer),Shatin Area,https://hk.jobsdb.com/hk/en/job/sales-executive-100003006011530,Degree,Entry Level,Salary provided
