Accounts Clerk / Assistant Accountant,Kwun Tong,https://hk.jobsdb.com/hk/en/job/accounts-clerk-assistant-accountant-100003006010117,School Certificate,Salary provided
"Senior Manager, Finance Process Re-engineering Consultant",Location not specified,https://hk.jobsdb.com/hk/en/job/senior-manager-finance-process-re-engineering-consultant-100003006010058,Degree,Salary provided
Assistant Accountant / Senior Accounts Clerk (5 days work),Wong Tai Sin Area,https://hk.jobsdb.com/hk/en/job/assistant-accountant-senior-accounts-clerk-100003006010016,Non-Degree Tertiary,Salary negotiable
Accounting Assistant,Shatin Area,https://hk.jobsdb.com/hk/en/job/accounting-assistant-100003005992330,null,Salary negotiable
Accounting Assistant  (Japanese Manufacturing co.)  ~17K,Shatin Area,https://hk.jobsdb.com/hk/en/job/accounting-assistant-100003006009748,Matriculated,Salary provided
ACCOUNTS CLERK,Kwai Hing,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006009368,School Certificate,Salary negotiable
Senior Accountant (Regular travel across China areas),Others - China,https://hk.jobsdb.com/hk/en/job/senior-accountant-100003006009291,Degree,Salary negotiable
Assistant Accountant,Yau Tsim Mong Area,https://hk.jobsdb.com/hk/en/job/assistant-accountant-100003006009334,Non-Degree Tertiary,Salary negotiable
Assistant Officer / Officer - Accounting,North Point,https://hk.jobsdb.com/hk/en/job/assistant-officer-officer-accounting-100003006004970,Non-Degree Tertiary,Salary provided
SENIOR ACCOUNTING OFFICER,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/senior-accounting-officer-100003006009175,Non-Degree Tertiary,Salary negotiable
Audit Junior/Audit Senior (5 day week),North Point,https://hk.jobsdb.com/hk/en/job/audit-junior-audit-senior-100003006009076,Non-Degree Tertiary,Salary provided
Accounting Assistant (5 Days Work),Kwun Tong,https://hk.jobsdb.com/hk/en/job/accounting-assistant-100003006009107,School Certificate,Salary negotiable
Senior Auditor,Mong Kok,https://hk.jobsdb.com/hk/en/job/senior-auditor-100003006008855,Degree,Salary negotiable
Auditor / Junior Auditor,Mong Kok,https://hk.jobsdb.com/hk/en/job/auditor-junior-auditor-100003006008856,Degree,Salary negotiable
ACCOUNTANT,Location not specified,https://hk.jobsdb.com/hk/en/job/accountant-100003006008857,Non-Degree Tertiary,Salary negotiable
Unit Manager / Business Development Manager (5天工作),Mong Kok,https://hk.jobsdb.com/hk/en/job/unit-manager-business-development-manager-100003006008824,School Certificate,"HK$30,000 - 35,000 /month (includes high commission)"
ACCOUNTING CLERK,Location not specified,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006008828,School Certificate,Salary negotiable
ASSISTANT ACCOUNTS RECEIVABLE OFFICER,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/assistant-accounts-receivable-officer-100003006008474,Degree,null
