Boutique Assistant (Contract),Location not specified,https://hk.jobsdb.com/hk/en/job/boutique-assistant-100003006011388,School Certificate,Salary provided
URGENT! Centre Manager (Full Time),Kwun Tong,https://hk.jobsdb.com/hk/en/job/centre-manager-100003006011317,School Certificate,Salary provided
Secretary/Administrative Officer (OMHKJob20180324),Wan Chai,https://hk.jobsdb.com/hk/en/job/secretary-administrative-officer-100003005989238,Degree,Salary provided
Business Operation Assistant (5-Day Work) (Ref: JDB/EIM/CSA),Pok Fu Lam,https://hk.jobsdb.com/hk/en/job/business-operation-assistant-100003006011123,Matriculated,Salary provided
Senior HR Officer,Central,https://hk.jobsdb.com/hk/en/job/senior-hr-officer-100003006011077,Degree,Salary negotiable
Administration Assistant (Warehouse),Tuen Mun Area,https://hk.jobsdb.com/hk/en/job/administration-assistant-100003006011021,Non-Degree Tertiary,Salary negotiable
Administration Manager (Corporate Office),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/administration-manager-100003006011002,Degree,null
Secretary,Central,https://hk.jobsdb.com/hk/en/job/secretary-100003006011074,Degree,Salary provided
Human Resources Manager,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/human-resources-manager-100003006010979,Degree,null
Human Resources Assistant,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/human-resources-assistant-100003006010980,Degree,null
Assistant Human Resources Manager / Officer,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/assistant-human-resources-manager-officer-100003006010988,Degree,null
Personnel  Assistant (Central Payroll),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/personnel-assistant-100003006010982,Non-Degree Tertiary,null
Site Clerk 地盤文員,Location not specified,https://hk.jobsdb.com/hk/en/job/site-clerk-%e5%9c%b0%e7%9b%a4%e6%96%87%e5%93%a1-100003006010879,School Certificate,null
Human Resources Officer (HRIS and C&B),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/human-resources-officer-100003006010914,Degree,null
